query_id,query_type,query_text,max_score,min_score,mean_score,std_dev,q25,median,q75,top_1_delta,top_doc_id
complex_01_cg,Complexity Type 1 (Relevant),a 45-minute conditioned game session,0.8631961345672607,0.8139714598655701,0.8274946928024292,0.014661089805281321,0.8200840204954147,0.8215258419513702,0.8250568807125092,0.01581120491027832,session_004
complex_02_cg,Complexity Type 1 (Relevant),a 45-minute conditioned game session for an advanced player,0.8539866805076599,0.8100057244300842,0.8197039783000946,0.013330819248052057,0.8113947957754135,0.8150283098220825,0.8172177970409393,0.0190313458442688,session_004
complex_03_cg,Complexity Type 1 (Relevant),a 45-minute conditioned game session for an advanced player focusing on volley drops,0.8539866805076599,0.8100057244300842,0.8197039783000946,0.013330819248052057,0.8113947957754135,0.8150283098220825,0.8172177970409393,0.0190313458442688,session_004
complex_21_mix,Complexity Type 2 (Relevant),a 60-minute mix session,0.8125661611557007,0.7930391430854797,0.8032740652561188,0.006518372153952169,0.7972437739372253,0.8059958815574646,0.8080908805131912,0.0034821629524230957,session_007
complex_22_mix,Complexity Type 2 (Relevant),a 60-minute mix session for an intermediate player,0.8049653172492981,0.7902449369430542,0.7973797738552093,0.00466292344800256,0.7942162901163101,0.7967590987682343,0.8007866442203522,0.0009427666664123535,session_007
complex_23_mix,Complexity Type 2 (Relevant),a 60-minute mix session for an intermediate player focusing on straight lob,0.8113304376602173,0.798064649105072,0.8042827010154724,0.0042268802517182735,0.800524890422821,0.8041548728942871,0.8070925176143646,0.0015584230422973633,session_007
complex_24_mix,Complexity Type 2 (Relevant),a 60-minute mix session for an intermediate player focusing on forehand straight kill,0.8113304376602173,0.798064649105072,0.8042827010154724,0.0042268802517182735,0.800524890422821,0.8041548728942871,0.8070925176143646,0.0015584230422973633,session_007
ooc_01,Relevant (Outside Corpus),a session focusing on the volley cross,0.818245530128479,0.7943282127380371,0.8082896292209625,0.007965763833265959,0.8012550473213196,0.8097589910030365,0.8151069283485413,0.00047600269317626953,session_001
ooc_02,Relevant (Outside Corpus),a drill session to improve on the cross-court nick,0.8402895927429199,0.8256402015686035,0.8348376035690308,0.0037913991430001013,0.8332923054695129,0.8348746597766876,0.8374810516834259,0.0023900270462036133,session_009
ooc_03,Relevant (Outside Corpus),a drill session to improve on the cross-court nick,0.8402895927429199,0.8256402015686035,0.8348376035690308,0.0037913991430001013,0.8332923054695129,0.8348746597766876,0.8374810516834259,0.0023900270462036133,session_009
