query_id,query_type,query_text,max_score,min_score,mean_score,std_dev,q25,median,q75,top_1_delta,top_doc_id
complex_01_cg,Complexity Type 1 (Relevant),a 45-minute conditioned game session,3.02255341091935,0.0,0.7739849993681106,1.0456262938340875,0.0,0.35246846496162715,0.7896438301581076,0.553105969375717,session_004
complex_02_cg,Complexity Type 1 (Relevant),a 45-minute conditioned game session for an advanced player,1.4547080116726236,-1.632911349106862,-0.7906005579486786,1.0436102683826518,-1.6072966233015067,-1.1911538414991587,-0.6653847171260958,0.6246474223722106,session_004
complex_03_cg,Complexity Type 1 (Relevant),a 45-minute conditioned game session for an advanced player focusing on volley drops,1.4547080116726236,-1.632911349106862,-0.7906005579486786,1.0436102683826518,-1.6072966233015067,-1.1911538414991587,-0.6653847171260958,0.6246474223722106,session_004
complex_21_mix,Complexity Type 2 (Relevant),a 60-minute mix session,0.31208538217069276,-0.4982293968141026,-0.048647945327398294,0.29061716360492623,-0.3054720170818545,0.0,0.20425097587782662,0.028105477791374067,session_003
complex_22_mix,Complexity Type 2 (Relevant),a 60-minute mix session for an intermediate player,-0.9709280456665875,-2.154828457853206,-1.442391727689433,0.36414157562686955,-1.6636509111111448,-1.3702793871300312,-1.1964996032004311,0.024130393798645122,session_005
complex_23_mix,Complexity Type 2 (Relevant),a 60-minute mix session for an intermediate player focusing on straight lob,-1.4572385791305518,-2.653057854667309,-1.9500336437894046,0.3514902458484707,-2.2148120270591094,-1.8160900324786868,-1.7881107102134908,0.13030600110388812,session_009
complex_24_mix,Complexity Type 2 (Relevant),a 60-minute mix session for an intermediate player focusing on forehand straight kill,-2.7647015066959115,-4.338538315179813,-3.8833522280586097,0.4156939997678703,-4.126980423040492,-3.9935277743230464,-3.8189491090862306,0.9160121264558017,session_005
ooc_01,Relevant (Outside Corpus),a session focusing on the volley cross,0.8078315546687805,0.0,0.22478491412181234,0.344178571597149,0.0,0.0,0.5287026974424407,0.07275089804269197,session_003
ooc_02,Relevant (Outside Corpus),a drill session to improve on the cross-court nick,-0.12947400699291778,-0.9357481064436176,-0.6896776425912317,0.33794477090126496,-0.9207365255114206,-0.9001110427102751,-0.3722673929251257,0.05707299398929022,session_003
ooc_03,Relevant (Outside Corpus),a drill session to improve on the cross-court nick,-0.12947400699291778,-0.9357481064436176,-0.6896776425912317,0.33794477090126496,-0.9207365255114206,-0.9001110427102751,-0.3722673929251257,0.05707299398929022,session_003
ooc_05,Relevant (Outside Corpus),practice the 3-step ghosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,session_001
